epoch,data_loss,phys_loss_unweighted,phys_loss_weighted,total_loss,lr
1,0.036512945731170476,0.002922968853963539,2.922968853963539e-05,0.03654217541971011,0.0005
2,0.00947580303112045,0.0017237591611919925,1.7237591611919926e-05,0.00949304062273237,0.0004999692198041743
3,0.006433457440230996,0.0014800536482362076,1.4800536482362077e-05,0.0064482579767133575,0.00049987688681125
4,0.005180571849225089,0.0013311094341333955,1.3311094341333955e-05,0.005193882943566422,0.0004997230238030115
5,0.004578371902229265,0.0012730919196037576,1.2730919196037575e-05,0.0045911028214253025,0.0004995076687428538
6,0.0040125656018499285,0.001180364555446431,1.180364555446431e-05,0.004024369247404393,0.0004992308747664155
7,0.0036766174074728043,0.001122590394341387,1.1225903943413869e-05,0.003687843311416218,0.0004988927101684684
8,0.003331161454319954,0.0010836494817631319,1.083649481763132e-05,0.0033419979491375856,0.0004984932583860673
9,0.003161054958938621,0.001060339882853441,1.060339882853441e-05,0.0031716583577671557,0.0004980326179779622
10,0.002945219335728325,0.0010240520036313683,1.0240520036313684e-05,0.002955459855764639,0.000497510902600281
11,0.002716097667813301,0.0009831631694105453,9.831631694105452e-06,0.0027259292995074065,0.0004969282409784868
12,0.0025395572412526234,0.000959111210773699,9.59111210773699e-06,0.0025491483533603603,0.0004962847768756161
13,0.0023729414691915736,0.0009162024224642664,9.162024224642665e-06,0.0023821034934162163,0.0004955806690568078
14,0.0023436951326439156,0.0009315219117561355,9.315219117561355e-06,0.002353010351761477,0.0004948160912501305
15,0.0021517972570145503,0.0008900563944480382,8.900563944480382e-06,0.002160697820959031,0.0004939912321037175
16,0.0020754461322794668,0.0008620042041875422,8.620042041875422e-06,0.0020840661743213424,0.0004931062951392202
17,0.0018829003038117662,0.0008328680388513021,8.32868038851302e-06,0.0018912289842002792,0.0004921614987015933
18,0.0018979187052464114,0.0008385402209823951,8.38540220982395e-06,0.0019063041074562353,0.0004911570759052206
19,0.0017719896936323493,0.0008249528456362896,8.249528456362896e-06,0.0017802392220887123,0.0004900932745763972
20,0.001697367173503153,0.0008039776759105735,8.039776759105735e-06,0.0017054069502622587,0.0004889703571921833
21,0.0016966803930699825,0.0007913296173792333,7.913296173792333e-06,0.0017045936892437748,0.0004877886008156408
22,0.0016919145938882139,0.0007864500296127517,7.864500296127517e-06,0.0016997790941843413,0.0004865482970274725
