epoch,data_loss,phys_loss_unweighted,phys_loss_weighted,total_loss,lr
1,0.03507375922985375,0.002922801446635276,0.00029228014466352764,0.03536603937451728,0.0005
2,0.008923216165741906,0.001630982722621411,0.0001630982722621411,0.009086314438004046,0.0004999692198041743
3,0.006238167269853875,0.0014115334106609226,0.00014115334106609226,0.006379320610919967,0.00049987688681125
4,0.004997317171655595,0.0013056007381528616,0.00013056007381528616,0.005127877245470882,0.0004997230238030115
5,0.004362288332078606,0.001231175288266968,0.0001231175288266968,0.004485405860905302,0.0004995076687428538
6,0.003793121081427671,0.0011356975550879725,0.00011356975550879726,0.003906690836936468,0.0004992308747664155
7,0.003547082450473681,0.0011012075162143446,0.00011012075162143447,0.0036572032020951153,0.0004988927101684684
8,0.0032962555784033613,0.001069382285058964,0.00010693822850589641,0.003403193806909258,0.0004984932583860673
9,0.003115092816762626,0.0010395386577001773,0.00010395386577001774,0.003219046682532644,0.0004980326179779622
10,0.002889925197232515,0.0009977994461078197,9.977994461078198e-05,0.0029897051418432967,0.000497510902600281
11,0.0025560081052826717,0.000958161230024416,9.58161230024416e-05,0.002651824228285113,0.0004969282409784868
12,0.0024395144853042437,0.0009243857827386819,9.24385782738682e-05,0.002531953063578112,0.0004962847768756161
13,0.0022204030372668057,0.0008858734553214162,8.858734553214163e-05,0.0023089903827989474,0.0004955806690568078
14,0.0021339127468527294,0.0008633927360060625,8.633927360060626e-05,0.0022202520204533355,0.0004948160912501305
15,0.002099757135845721,0.0008751499594072811,8.751499594072812e-05,0.002187272131786449,0.0004939912321037175
16,0.001956377530004829,0.000837216418934986,8.372164189349861e-05,0.0020400991718983277,0.0004931062951392202
17,0.0019053960737655871,0.0008038695449358783,8.038695449358785e-05,0.001985783028259175,0.0004921614987015933
18,0.001839584854664281,0.0008033582446514629,8.03358244651463e-05,0.0019199206791294273,0.0004911570759052206
19,0.0017805661368765868,0.0008007162726134993,8.007162726134993e-05,0.0018606377641379368,0.0004900932745763972
20,0.0015942352478159592,0.0007686209699022584,7.686209699022584e-05,0.001671097344806185,0.0004889703571921833
21,0.0015953500079922379,0.0007729760778602213,7.729760778602213e-05,0.00167264761577826,0.0004877886008156408
22,0.0015490025726030581,0.0007476951439748518,7.47695143974852e-05,0.0016237720870005434,0.0004865482970274725
23,0.0014614836518885568,0.0007081016508163885,7.081016508163885e-05,0.0015322938169701956,0.0004852497518540792
24,0.001406647834694013,0.0007168339080526494,7.168339080526494e-05,0.001478331225499278,0.0004838932856920519
25,0.0013722236667526885,0.0007151492802076973,7.151492802076973e-05,0.0014437385947734583,0.00048247923322911865
26,0.0013273444984806702,0.0006959853444714099,6.9598534447141e-05,0.0013969430329278112,0.000481007943361566
27,0.0012674221564084292,0.0006996187847107648,6.996187847107648e-05,0.0013373840348795056,0.0004794797791081532
28,0.0012666309431078845,0.0006937069161213003,6.937069161213004e-05,0.0013360016347200145,0.00047789511752054347
29,0.0012426565586938522,0.0006752342821273488,6.752342821273488e-05,0.0013101799869065871,0.0004762543495902718
30,0.0011503173660603351,0.0006495121242187452,6.495121242187452e-05,0.0012152685784822097,0.0004745578801522735
31,0.001176901742379414,0.0006641353809391148,6.641353809391149e-05,0.0012433152804733254,0.0004728061277849977
32,0.001112476468872046,0.0006472777597955428,6.472777597955429e-05,0.0011772042448516004,0.000470999524707129
33,0.001131211827363586,0.0006463798869517632,6.463798869517632e-05,0.0011958498160587624,0.00046913851667094384
34,0.0010632156887440943,0.0006194698291365058,6.194698291365058e-05,0.001125162671657745,0.0004672235628523286
35,0.0010094136507250368,0.0006184511865430977,6.184511865430977e-05,0.0010712587693793465,0.00046525513573748384
36,0.001008431464084424,0.0006166803310625255,6.166803310625255e-05,0.0010700994971906766,0.0004632337210063459
37,0.0010547485077404418,0.0006235077616584022,6.235077616584022e-05,0.001117099283906282,0.00046115981741275266
38,0.0009492025417275726,0.000600847382855136,6.0084738285513605e-05,0.0010092872800130863,0.00045903393666138335
39,0.0009017666375439148,0.0005867650024883915,5.867650024883915e-05,0.0009604431377927539,0.00045685660328150305
40,0.0009625588422059082,0.0006145662902563345,6.145662902563345e-05,0.0010240154712315417,0.00045462835449754324
41,0.0008563147835666313,0.0005595998250646516,5.595998250646517e-05,0.0009122747660730965,0.0004523497400965493
42,0.0008747614490857813,0.0005762135451950599,5.762135451950599e-05,0.0009323828036052873,0.0004500213222925291
43,0.0009619845440320205,0.0005912217508303001,5.912217508303002e-05,0.0010211067191150506,0.0004476436755877347
44,0.0008642516868130769,0.0005781356060469988,5.7813560604699886e-05,0.0009220652474177768,0.0004452173866309132
45,0.0008237109299225267,0.0005595939319173339,5.5959393191733394e-05,0.0008796703231142601,0.0004427430540725593
46,0.00083102554679499,0.0005608257306739687,5.608257306739688e-05,0.0008871081198623869,0.0004402212884172076
47,0.0008000274919904768,0.0005522244003077503,5.5222440030775036e-05,0.0008552499320212518,0.00043765271187279955
48,0.0007848088095197454,0.0005420139729685616,5.420139729685616e-05,0.0008390102068166016,0.00043503795819716293
49,0.000759913378424244,0.0005417482621851377,5.417482621851378e-05,0.0008140882046427577,0.000432377672541642
50,0.0007454473843390587,0.0005361483560991473,5.3614835609914737e-05,0.0007990622199489734,0.0004296725112919155
51,0.0007487259346817155,0.0005367826789733954,5.367826789733954e-05,0.000802404202579055,0.00042692314190604345
52,0.000751706283655949,0.0005398211875872221,5.3982118758722216e-05,0.0008056884024146712,0.00042413024274978224
53,0.0007537157293700148,0.0005253079224785324,5.2530792247853245e-05,0.000806246521617868,0.0004212945029292077
54,0.0007250128926243633,0.0005271903417597059,5.2719034175970594e-05,0.0007777319268003339,0.00041841662212068826
55,0.0006938454688061029,0.0005132378347625491,5.132378347625491e-05,0.0007451692522823578,0.00041549731039825096
56,0.0006731422340817516,0.0005044768384977942,5.044768384977942e-05,0.0007235899179315311,0.0004125372880583806
57,0.000663674781419104,0.0004996856051438954,4.996856051438955e-05,0.0007136433419334935,0.0004095372854422979
58,0.0006936853165098,0.000505496327939909,5.05496327939909e-05,0.0007442349493037909,0.0004064980427557583
59,0.0006897044319484849,0.0005084151808987372,5.084151808987372e-05,0.0007405459500383585,0.0004034203098864175
60,0.0006469210733193904,0.0004996522770088632,4.996522770088632e-05,0.0006968863010202767,0.00040030484621880795
61,0.0006200778526399517,0.0004818602458399255,4.818602458399255e-05,0.0006682638772239443,0.00039715242044697195
62,0.0006690876776992809,0.0004938013383070938,4.9380133830709384e-05,0.0007184678115299902,0.0003939638103847979
63,0.0006416518694895786,0.0004957689699658658,4.957689699658659e-05,0.0006912287664861651,0.0003907398027741065
64,0.000609846419916721,0.0004878641653631348,4.878641653631349e-05,0.0006586328364530345,0.00038748119309053375
65,0.0006335782719252166,0.0004919004931289237,4.9190049312892374e-05,0.000682768321238109,0.0003841887853472595
66,0.0006000237381376792,0.00048096153666847384,4.809615366684739e-05,0.0006481198918045267,0.0003808633918966291
67,0.0005930304985668044,0.00047174372436711566,4.717437243671157e-05,0.000640204871003516,0.00037750583322971747
68,0.0005784278776409337,0.0004641990647942293,4.6419906479422934e-05,0.0006248477841203566,0.00037411693777388553
69,0.0005792672064271755,0.0004707705214386806,4.7077052143868064e-05,0.0006263442585710436,0.00037069754168837777
70,0.0005630870273162145,0.00046170603166683575,4.617060316668358e-05,0.0006092576304828981,0.0003672484886580129
71,0.0005802017746318598,0.0004649265275220387,4.649265275220387e-05,0.0006266944273840636,0.00036377062968501677
72,0.0005584500927943736,0.0004625511312915478,4.6255113129154783e-05,0.0006047052059235283,0.00036026482287905066
73,0.0005387400130566675,0.00046052534412592647,4.605253441259265e-05,0.0005847925474692601,0.0003567319332454855
74,0.0005581787675910164,0.0004577407493488863,4.5774074934888636e-05,0.000603952842525905,0.00035317283247197456
75,0.0005630999748536851,0.0004616209403320681,4.6162094033206815e-05,0.0006092620688868919,0.00034958839871337765
76,0.0005223186191287823,0.00044647529534995554,4.464752953499556e-05,0.0005669661486637779,0.0003459795163750898
77,0.0005193994146829937,0.00043981391919078306,4.398139191907831e-05,0.0005633808066020721,0.0003423470758948271
78,0.0005181632454041392,0.00044350784772541373,4.435078477254138e-05,0.0005625140301766806,0.00033869197352292456
79,0.0005152640621381579,0.00044942424513283186,4.4942424513283186e-05,0.0005602064866514411,0.00033501511110120016
80,0.0005018704329995672,0.00043592164700385184,4.3592164700385185e-05,0.0005454625976999524,0.0003313173958404382
81,0.0004956487217859831,0.00043140604012296534,4.3140604012296536e-05,0.0005387893257982797,0.0003275997400965493
82,0.00046838654659222813,0.00042758578844950536,4.275857884495054e-05,0.0005111451254371786,0.00032386306114545976
83,0.00048385854098887646,0.0004256205878627952,4.2562058786279525e-05,0.000526420599775156,0.00032010828095678767
84,0.0004975628799584229,0.00043777051629149353,4.377705162914936e-05,0.0005413399315875722,0.0003163363259663604
85,0.00046640026426757685,0.00041881505592027677,4.188150559202768e-05,0.0005082817698596045,0.00031254812684763114
86,0.0004631372322328389,0.0004276551670918707,4.2765516709187076e-05,0.0005059027489420259,0.00030874461828204835
87,0.0004730305705306819,0.00042833645260543563,4.2833645260543566e-05,0.0005158642157912255,0.0003049267387284373
88,0.0004782615992007777,0.00042655531709897334,4.2655531709897334e-05,0.0005209171309106751,0.0003010954301914498
89,0.00044667427605600096,0.00041712554995319807,4.171255499531981e-05,0.0004883868310513208,0.00029725163798913825
90,0.0004498921185586369,0.000417320361972088,4.1732036197208804e-05,0.0004916241547558457,0.00029339631051971256
91,0.00045708103255310563,0.00041388870880473404,4.1388870880473406e-05,0.000498469903433579,0.0002895303990275375
92,0.0004499111832701601,0.0004176050668756943,4.176050668756943e-05,0.0004916716899577296,0.0002856548573684268
93,0.00041657913946255575,0.00039989984917338005,3.998998491733801e-05,0.00045656912437989374,0.00028177064177429384
94,0.00044267183075135107,0.00041583477761014367,4.158347776101437e-05,0.00048425530851236545,0.0002778787106172157
95,0.00043799819234118333,0.00040557558451837395,4.05575584518374e-05,0.0004785557507930207,0.0002739800241729692
96,0.00042444060313573574,0.0004038116372539662,4.038116372539662e-05,0.00046482176686113235,0.0002700755443840972
97,0.00041233779329922983,0.0004043220857565757,4.0432208575657575e-05,0.0004527700018748874,0.0002661662346225636
98,0.00043100884747400414,0.00039905533922137695,3.9905533922137695e-05,0.00047091438139614184,0.0002622530594520557
99,0.00039918712426151613,0.00039861692779231814,3.986169277923182e-05,0.0004390488170407479,0.0002583369843899929
100,0.00040323082145914666,0.00039358432352310044,3.9358432352310046e-05,0.00044258925381145673,0.0002544189756692991
101,0.00039638570754323154,0.00039033991395263,3.903399139526301e-05,0.0004354196989384946,0.00025049999999999985
102,0.00039236329185951037,0.00038228266392252406,3.822826639225241e-05,0.00043059155825176277,0.00024658102433070065
103,0.00037685505345871206,0.00038217564750812015,3.821756475081202e-05,0.0004150726182095241,0.00024266301561000684
104,0.00040951258809946014,0.00039549665854428893,3.9549665854428896e-05,0.000449062253953889,0.00023874694054794402
105,0.00039274348656908844,0.000381921131600393,3.81921131600393e-05,0.0004309355997291277,0.00023483376537743617
106,0.00038758487567247356,0.00038091878045815974,3.809187804581598e-05,0.00042567675371828954,0.0002309244556159026
107,0.0003737209514802089,0.00038146307729766704,3.814630772976671e-05,0.0004118672592099756,0.00022701997582703055
108,0.00037370618619024754,0.00038068635170930066,3.806863517093007e-05,0.0004117748213611776,0.0002231212893827841
109,0.000364794802677352,0.00037627300749591084,3.762730074959109e-05,0.00040242210342694305,0.000219229358225706
110,0.0003711090862780111,0.0003749354442115873,3.749354442115873e-05,0.00040860263069916985,0.0002153451426315731
111,0.00036408322167699226,0.0003739351781550795,3.739351781550795e-05,0.0004014767394925002,0.00021146960097246232
112,0.0003817348923184909,0.000384089001789107,3.84089001789107e-05,0.0004201437924974016,0.0002076036894802872
113,0.0003645901942072669,0.00037550033658044415,3.7550033658044415e-05,0.0004021402278653113,0.00020374836201086162
114,0.0003576706093299435,0.00036683636235829907,3.668363623582991e-05,0.0003943542455657734,0.00019990456980855008
115,0.00033514159172045763,0.0003581353697227314,3.581353697227314e-05,0.0003709551286927308,0.00019607326127156263
116,0.0003617684048076626,0.00036869564949302,3.6869564949302e-05,0.0003986379697569646,0.0001922553817179515
117,0.0003446851244370919,0.0003655131229606923,3.655131229606923e-05,0.0003812364367331611,0.00018845187315236865
118,0.00034026580753561576,0.0003618167939421255,3.618167939421255e-05,0.0003764474869298283,0.0001846636740336394
119,0.0003382467053306755,0.0003614166823099367,3.6141668230993676e-05,0.00037438837356166914,0.00018089171904321226
120,0.00033424777246546,0.0003579770184442168,3.579770184442168e-05,0.0003700454743098817,0.00017713693885454014
121,0.00032614692169590854,0.000356550112075638,3.5655011207563804e-05,0.00036180193290347233,0.00017340025990345066
122,0.0003158270879939664,0.00035089004138717426,3.508900413871743e-05,0.00035091609213268386,0.00016968260415956167
123,0.0003277158225828316,0.0003480991905380506,3.480991905380506e-05,0.0003625257416366367,0.00016598488889879977
124,0.0003284020506616798,0.0003487902353226673,3.4879023532266734e-05,0.0003632810741939465,0.00016230802647707534
125,0.00031778717202541885,0.0003499579378112685,3.4995793781126854e-05,0.0003527829658065457,0.00015865292410517288
126,0.00032414767831505744,0.00035774715841398576,3.5774715841398575e-05,0.000359922394156456,0.00015502048362491013
127,0.00031020725665439387,0.0003500017904152628,3.5000179041526285e-05,0.00034520743569592014,0.00015141160128662217
128,0.0003131287450523814,0.0003454775805294048,3.454775805294048e-05,0.0003476765031053219,0.00014782716752802534
129,0.0003034492344741011,0.0003463511611043941,3.463511611043941e-05,0.0003380843505845405,0.00014426806675451435
130,0.00031937364015902856,0.000350289445836097,3.50289445836097e-05,0.0003544025847426383,0.00014073517712094913
131,0.000306739935404039,0.00034363308729371054,3.436330872937106e-05,0.00034110324413341004,0.00013722937031498307
132,0.00030744705464167055,0.0003465422871813644,3.465422871813644e-05,0.000342101283359807,0.00013375151134198697
133,0.00031482691496785266,0.0003435828866640804,3.435828866640804e-05,0.0003491852036342607,0.00013030245831162197
134,0.0002995421469167923,0.0003402666227775626,3.402666227775626e-05,0.00033356880919454857,0.00012688306222611426
135,0.00030389561958872943,0.0003359767931251554,3.359767931251554e-05,0.00033749329890124497,0.00012349416677028232
136,0.0002930270204669796,0.0003372603208845248,3.372603208845248e-05,0.00032675305255543206,0.00012013660810337073
137,0.0002994780445296783,0.0003350210932549089,3.350210932549089e-05,0.0003329801538551692,0.00011681121465274023
138,0.000300429100272595,0.0003380854883725988,3.380854883725988e-05,0.0003342376491098549,0.00011351880690946605
